years_of_experience,aerodynamics_score,technological_score,Leadership Score ,Leader,,,W1,W2,W3
13,42,1,492,1,,,,,
16,9,6,212,0,,,,,
15,50,1,582,1,,,,,
6,22,3,271,0,,,,,
11,50,4,583,1,,,,,
11,32,2,389,0,,,,,
17,14,1,232,0,,,,,
7,12,1,162,0,,,,,
1,48,10,555,1,,,,,
2,27,7,329,0,,,,,
9,21,6,297,0,,,,,
5,50,10,595,1,,,,,
11,11,1,172,0,,,,,
16,11,2,204,0,,,,,
1,35,2,369,0,,,,,
14,18,8,306,0,,,,,
4,32,6,382,0,,,,,
20,47,8,626,1,,,,,
5,17,5,230,0,,,,,
16,41,3,511,1,,,,,
11,21,8,321,0,,,,,
4,33,2,364,0,,,,,
7,29,10,395,0,,,,,
20,18,10,350,0,,,,,
17,40,6,527,1,,,,,
12,17,4,258,0,,,,,
19,43,6,567,1,,,,,
7,18,3,236,0,,,,,
16,37,8,506,1,,,,,
16,42,4,528,1,,,,,
7,39,4,453,1,,,,,
19,49,8,641,1,,,,,
18,25,9,403,0,,,,,
20,45,2,564,1,,,,,
19,8,2,189,0,,,,,
8,7,3,131,0,,,,,
20,11,3,231,0,,,,,
11,28,2,349,0,,,,,
14,28,1,357,0,,,,,
12,34,2,414,0,,,,,
20,28,3,401,0,,,,,
6,41,10,510,1,,,,,
8,10,8,196,0,,,,,
17,22,2,319,0,,,,,
6,25,3,301,0,,,,,
20,32,2,434,0,,,,,
5,16,3,206,0,,,,,
17,47,10,625,1,,,,,
2,31,6,362,0,,,,,
3,43,4,473,1,,,,,
8,17,1,217,0,,,,,
18,45,10,610,1,,,,,
2,48,2,504,1,,,,,
2,41,9,483,1,,,,,
4,28,6,342,0,,,,,
10,7,3,141,0,,,,,
16,8,4,188,0,,,,,
7,21,6,287,0,,,,,
7,39,3,446,0,,,,,
11,34,1,402,0,,,,,
15,15,7,274,0,,,,,
18,5,9,203,0,,,,,
11,10,2,169,0,,,,,
9,35,10,465,1,,,,,
7,21,9,308,0,,,,,
18,17,7,309,0,,,,,
2,22,10,300,0,,,,,
10,16,4,238,0,,,,,
13,22,7,334,0,,,,,
17,41,4,523,1,,,,,
2,16,1,177,0,,,,,
18,47,3,581,1,,,,,
6,6,6,132,0,,,,,
17,6,6,187,0,,,,,
7,23,1,272,0,,,,,
20,36,3,481,1,,,,,
3,28,4,323,0,,,,,
11,46,9,578,1,,,,,
1,44,3,466,1,,,,,
5,6,8,141,0,,,,,
19,18,4,303,0,,,,,
2,9,8,156,0,,,,,
3,44,2,469,1,,,,,
15,10,9,238,0,,,,,
7,34,5,410,0,,,,,
3,42,1,442,0,,,,,
11,23,4,313,0,,,,,
3,23,2,259,0,,,,,
2,22,9,293,0,,,,,
17,28,7,414,0,,,,,
8,22,9,323,0,,,,,
13,25,3,336,0,,,,,
5,9,9,178,0,,,,,
11,37,10,495,1,,,,,
15,48,8,611,1,,,,,
2,25,5,295,0,,,,,
6,14,1,177,0,,,,,
19,46,3,576,1,,,,,
5,15,3,196,0,,,,,
9,47,2,529,1,,,,,
13,28,3,366,0,,,,,
13,39,8,511,1,,,,,
3,46,7,524,1,,,,,
8,41,10,520,1,,,,,
7,11,7,194,0,,,,,
18,23,8,376,0,,,,,
20,8,9,243,0,,,,,
0,49,8,546,1,,,,,
0,50,6,542,1,,,,,
0,35,3,371,0,,,,,
16,46,2,554,1,,,,,
16,38,4,488,1,,,,,
6,8,10,180,0,,,,,
9,15,5,230,0,,,,,
15,41,9,548,1,,,,,
16,10,6,222,0,,,,,
9,17,10,285,0,,,,,
4,50,3,541,1,,,,,
8,6,2,114,0,,,,,
12,28,2,354,0,,,,,
0,40,1,407,0,,,,,
3,18,3,216,0,,,,,
7,15,4,213,0,,,,,
18,48,6,612,1,,,,,
12,19,2,264,0,,,,,
6,25,9,343,0,,,,,
5,34,9,428,0,,,,,
1,9,9,158,0,,,,,
13,21,9,338,0,,,,,
5,24,4,293,0,,,,,
4,22,1,247,0,,,,,
18,39,1,487,1,,,,,
8,47,9,573,1,,,,,
0,6,6,102,0,,,,,
9,49,1,542,1,,,,,
2,28,8,346,0,,,,,
17,40,4,513,1,,,,,
16,7,3,171,0,,,,,
13,49,3,576,1,,,,,
20,46,3,581,1,,,,,
19,44,1,542,1,,,,,
20,10,5,235,0,,,,,
18,50,3,611,1,,,,,
4,13,9,213,0,,,,,
12,21,10,340,0,,,,,
19,18,8,331,0,,,,,
14,16,3,251,0,,,,,
16,34,6,462,1,,,,,
17,30,3,406,0,,,,,
2,28,2,304,0,,,,,
20,9,10,260,0,,,,,
6,7,7,149,0,,,,,
8,35,4,418,0,,,,,
8,28,3,341,0,,,,,
13,30,7,414,0,,,,,
12,48,8,596,1,,,,,
18,31,7,449,0,,,,,
18,44,10,600,1,,,,,
6,21,6,282,0,,,,,
18,13,4,248,0,,,,,
20,30,3,421,0,,,,,
1,48,2,499,1,,,,,
13,31,10,445,0,,,,,
7,47,7,554,1,,,,,
20,33,10,500,1,,,,,
15,36,6,477,1,,,,,
4,12,10,210,0,,,,,
3,11,1,132,0,,,,,
5,6,6,127,0,,,,,
7,14,10,245,0,,,,,
14,18,4,278,0,,,,,
5,23,4,283,0,,,,,
7,27,10,375,0,,,,,
16,31,2,404,0,,,,,
9,32,6,407,0,,,,,
20,18,2,294,0,,,,,
17,7,1,162,0,,,,,
8,9,2,144,0,,,,,
3,43,9,508,1,,,,,
4,16,2,194,0,,,,,
8,36,4,428,0,,,,,
12,27,4,358,0,,,,,
5,30,1,332,0,,,,,
1,35,2,369,0,,,,,
3,44,8,511,1,,,,,
10,15,5,235,0,,,,,
17,37,5,490,1,,,,,
16,39,2,484,1,,,,,
2,40,4,438,0,,,,,
8,42,5,495,1,,,,,
0,23,7,279,0,,,,,
2,11,3,141,0,,,,,
6,22,2,264,0,,,,,
17,44,3,546,1,,,,,
4,35,8,426,0,,,,,
12,16,7,269,0,,,,,
7,43,2,479,1,,,,,
8,9,2,144,0,,,,,
8,26,2,314,0,,,,,
12,35,6,452,1,,,,,
19,14,7,284,0,,,,,
2,43,6,482,1,,,,,
1,13,9,198,0,,,,,
16,34,8,476,1,,,,,
20,5,6,192,0,,,,,
7,10,1,142,0,,,,,
10,29,8,396,0,,,,,
15,21,10,355,0,,,,,
17,37,10,525,1,,,,,
5,20,3,246,0,,,,,
5,16,10,255,0,,,,,
7,43,9,528,1,,,,,
16,34,4,448,0,,,,,
20,20,4,328,0,,,,,
0,22,6,262,0,,,,,
13,34,1,412,0,,,,,
8,10,1,147,0,,,,,
17,21,9,358,0,,,,,
0,16,2,174,0,,,,,
0,13,3,151,0,,,,,
14,50,1,577,1,,,,,
16,7,5,185,0,,,,,
8,20,5,275,0,,,,,
20,36,9,523,1,,,,,
16,41,5,525,1,,,,,
2,33,6,382,0,,,,,
17,47,4,583,1,,,,,
3,49,10,575,1,,,,,
4,30,8,376,0,,,,,
9,32,9,428,0,,,,,
7,18,5,250,0,,,,,
12,23,4,318,0,,,,,
5,15,2,189,0,,,,,
20,12,5,255,0,,,,,
19,42,3,536,1,,,,,
3,27,8,341,0,,,,,
18,33,1,427,0,,,,,
5,6,9,148,0,,,,,
8,29,6,372,0,,,,,
4,27,8,346,0,,,,,
20,43,9,593,1,,,,,
14,14,9,273,0,,,,,
5,19,2,229,0,,,,,
2,46,9,533,1,,,,,
6,43,10,530,1,,,,,
11,14,7,244,0,,,,,
2,22,4,258,0,,,,,
4,25,5,305,0,,,,,
17,9,3,196,0,,,,,
8,25,6,332,0,,,,,
11,41,6,507,1,,,,,
0,41,5,445,0,,,,,
3,17,8,241,0,,,,,
2,38,9,453,1,,,,,
5,19,6,257,0,,,,,
19,30,8,451,1,,,,,
3,39,1,412,0,,,,,
17,26,9,408,0,,,,,
10,44,4,518,1,,,,,
13,26,5,360,0,,,,,
8,49,2,544,1,,,,,
16,10,7,229,0,,,,,
4,44,9,523,1,,,,,
3,29,1,312,0,,,,,
3,42,7,484,1,,,,,
17,44,9,588,1,,,,,
5,47,6,537,1,,,,,
9,32,2,379,0,,,,,
0,21,1,217,0,,,,,
13,38,3,466,1,,,,,
4,42,9,503,1,,,,,
0,29,2,304,0,,,,,
5,18,1,212,0,,,,,
13,8,6,187,0,,,,,
18,22,9,373,0,,,,,
20,23,3,351,0,,,,,
10,40,1,457,1,,,,,
8,16,6,242,0,,,,,
6,26,4,318,0,,,,,
9,37,7,464,1,,,,,
5,26,6,327,0,,,,,
7,18,5,250,0,,,,,
9,8,3,146,0,,,,,
5,27,2,309,0,,,,,
7,32,6,397,0,,,,,
8,34,1,387,0,,,,,
17,19,8,331,0,,,,,
5,46,1,492,1,,,,,
1,13,1,142,0,,,,,
12,41,1,477,1,,,,,
4,18,10,270,0,,,,,
9,30,7,394,0,,,,,
5,44,8,521,1,,,,,
14,30,1,377,0,,,,,
10,49,10,610,1,,,,,
16,6,2,154,0,,,,,
6,21,7,289,0,,,,,
12,45,2,524,1,,,,,
2,45,2,474,1,,,,,
0,27,10,340,0,,,,,
9,41,6,497,1,,,,,
0,20,8,256,0,,,,,
9,21,2,269,0,,,,,
16,39,1,477,1,,,,,
0,47,2,484,1,,,,,
17,28,2,379,0,,,,,
6,46,10,560,1,,,,,
6,41,9,503,1,,,,,
9,16,2,219,0,,,,,
9,29,2,349,0,,,,,
20,9,5,225,0,,,,,
15,22,1,302,0,,,,,
13,36,7,474,1,,,,,
0,49,7,539,1,,,,,
2,15,9,223,0,,,,,
4,9,1,117,0,,,,,
5,14,1,172,0,,,,,
4,45,8,526,1,,,,,
17,38,8,521,1,,,,,
7,39,7,474,1,,,,,
1,13,8,191,0,,,,,
6,10,6,172,0,,,,,
17,14,1,232,0,,,,,
2,19,9,263,0,,,,,
3,38,10,465,1,,,,,
4,33,8,406,0,,,,,
11,31,7,414,0,,,,,
8,39,9,493,1,,,,,
2,10,8,166,0,,,,,
2,39,2,414,0,,,,,
12,42,5,515,1,,,,,
6,16,9,253,0,,,,,
14,41,3,501,1,,,,,
12,14,8,256,0,,,,,
11,43,1,492,1,,,,,
12,49,7,599,1,,,,,
11,5,3,126,0,,,,,
15,43,6,547,1,,,,,
13,9,5,190,0,,,,,
4,5,8,126,0,,,,,
11,40,10,525,1,,,,,
6,26,9,353,0,,,,,
18,30,8,446,0,,,,,
12,50,3,581,1,,,,,
15,16,5,270,0,,,,,
5,50,5,560,1,,,,,
19,33,2,439,0,,,,,
10,6,6,152,0,,,,,
16,45,6,572,1,,,,,
11,43,6,527,1,,,,,
15,27,9,408,0,,,,,
20,24,8,396,0,,,,,
19,37,7,514,1,,,,,
5,30,4,353,0,,,,,
3,22,3,256,0,,,,,
9,39,1,442,0,,,,,
3,6,3,96,0,,,,,
8,9,5,165,0,,,,,
17,44,2,539,1,,,,,
17,8,3,186,0,,,,,
17,41,3,516,1,,,,,
7,38,7,464,1,,,,,
8,50,2,554,1,,,,,
15,16,6,277,0,,,,,
18,46,7,599,1,,,,,
8,25,6,332,0,,,,,
8,31,4,378,0,,,,,
8,15,1,197,0,,,,,
6,21,7,289,0,,,,,
12,7,8,186,0,,,,,
9,24,9,348,0,,,,,
17,44,3,546,1,,,,,
20,31,7,459,1,,,,,
6,33,4,388,0,,,,,
19,29,7,434,0,,,,,
0,30,6,342,0,,,,,
5,49,10,585,1,,,,,
8,9,2,144,0,,,,,
15,31,8,441,0,,,,,
2,46,1,477,1,,,,,
16,40,1,487,1,,,,,
5,23,3,276,0,,,,,
19,34,8,491,1,,,,,
6,6,8,146,0,,,,,
19,18,4,303,0,,,,,
13,19,8,311,0,,,,,
15,29,5,400,0,,,,,
9,15,7,244,0,,,,,
18,49,5,615,1,,,,,
17,27,10,425,0,,,,,
9,32,4,393,0,,,,,
4,49,5,545,1,,,,,
3,44,10,525,1,,,,,
8,20,10,310,0,,,,,
18,6,9,213,0,,,,,
6,27,1,307,0,,,,,
19,41,1,512,1,,,,,
17,22,2,319,0,,,,,
0,32,7,369,0,,,,,
13,15,3,236,0,,,,,
5,46,3,506,1,,,,,
20,27,9,433,0,,,,,
10,33,4,408,0,,,,,
1,46,6,507,1,,,,,
14,27,2,354,0,,,,,
12,14,1,207,0,,,,,
6,10,5,165,0,,,,,
7,10,9,198,0,,,,,
11,37,6,467,1,,,,,
7,38,2,429,0,,,,,
15,7,10,215,0,,,,,
10,7,7,169,0,,,,,
12,36,4,448,0,,,,,
3,11,3,146,0,,,,,
8,32,6,402,0,,,,,
9,11,7,204,0,,,,,
14,18,6,292,0,,,,,
4,9,4,138,0,,,,,
0,46,1,467,1,,,,,
11,38,10,505,1,,,,,
16,50,1,587,1,,,,,
2,44,6,492,1,,,,,
14,47,3,561,1,,,,,
15,40,10,545,1,,,,,
17,50,1,592,1,,,,,
16,49,6,612,1,,,,,
2,21,5,255,0,,,,,
9,6,6,147,0,,,,,
1,26,10,335,0,,,,,
17,26,6,387,0,,,,,
2,48,1,497,1,,,,,
18,16,2,264,0,,,,,
4,13,9,213,0,,,,,
18,31,2,414,0,,,,,
7,33,10,435,0,,,,,
14,22,4,318,0,,,,,
16,40,8,536,1,,,,,
10,35,5,435,0,,,,,
20,9,9,253,0,,,,,
18,33,5,455,1,,,,,
10,30,8,406,0,,,,,
17,7,10,225,0,,,,,
1,27,10,345,0,,,,,
10,7,2,134,0,,,,,
3,6,3,96,0,,,,,
2,26,8,326,0,,,,,
2,38,9,453,1,,,,,
3,28,1,302,0,,,,,
0,23,9,293,0,,,,,
5,13,7,204,0,,,,,
16,35,7,479,1,,,,,
19,45,5,580,1,,,,,
12,20,5,295,0,,,,,
2,45,5,495,1,,,,,
5,33,5,390,0,,,,,
8,20,1,247,0,,,,,
8,13,5,205,0,,,,,
19,22,4,343,0,,,,,
11,11,6,207,0,,,,,
7,6,10,165,0,,,,,
17,28,7,414,0,,,,,
7,37,5,440,0,,,,,
12,13,3,211,0,,,,,
1,24,8,301,0,,,,,
8,48,6,562,1,,,,,
2,33,1,347,0,,,,,
4,33,6,392,0,,,,,
0,38,5,415,0,,,,,
17,46,1,552,1,,,,,
2,11,3,141,0,,,,,
6,32,1,357,0,,,,,
15,40,3,496,1,,,,,
13,43,6,537,1,,,,,
13,16,1,232,0,,,,,
20,29,3,411,0,,,,,
1,20,10,275,0,,,,,
2,37,3,401,0,,,,,
9,35,5,430,0,,,,,
11,26,10,385,0,,,,,
7,47,4,533,1,,,,,
10,16,2,224,0,,,,,
7,48,9,578,1,,,,,
17,46,5,580,1,,,,,
13,27,4,363,0,,,,,
16,16,10,310,0,,,,,
20,44,6,582,1,,,,,
5,28,5,340,0,,,,,
4,6,7,129,0,,,,,
15,16,2,249,0,,,,,
20,12,6,262,0,,,,,
16,19,5,305,0,,,,,
16,18,7,309,0,,,,,
13,35,7,464,1,,,,,
11,16,4,243,0,,,,,
5,11,6,177,0,,,,,
2,48,5,525,1,,,,,
4,44,4,488,1,,,,,
20,18,6,322,0,,,,,
5,28,7,354,0,,,,,
5,37,7,444,0,,,,,
10,49,8,596,1,,,,,
8,28,1,327,0,,,,,
7,6,7,144,0,,,,,
0,50,10,570,1,,,,,
12,39,1,457,1,,,,,
5,19,2,229,0,,,,,
10,15,2,214,0,,,,,
1,34,9,408,0,,,,,
2,9,2,114,0,,,,,
9,23,5,310,0,,,,,
5,23,5,290,0,,,,,
16,25,7,379,0,,,,,
18,17,7,309,0,,,,,
18,6,10,220,0,,,,,
13,28,10,415,0,,,,,
9,25,2,309,0,,,,,
2,23,7,289,0,,,,,
16,19,7,319,0,,,,,
15,49,4,593,1,,,,,
0,45,9,513,1,,,,,
6,15,5,215,0,,,,,
19,34,9,498,1,,,,,
15,16,5,270,0,,,,,
8,23,8,326,0,,,,,
13,20,4,293,0,,,,,
5,12,9,208,0,,,,,
17,48,6,607,1,,,,,
12,29,5,385,0,,,,,
5,14,7,214,0,,,,,
4,11,1,137,0,,,,,
20,20,5,335,0,,,,,
10,14,1,197,0,,,,,
10,43,10,550,1,,,,,
9,11,9,218,0,,,,,
2,29,4,328,0,,,,,
1,11,9,178,0,,,,,
10,35,6,442,0,,,,,
15,6,6,177,0,,,,,
7,21,4,273,0,,,,,
12,37,2,444,0,,,,,
14,33,2,414,0,,,,,
18,45,1,547,1,,,,,
3,18,7,244,0,,,,,
15,14,8,271,0,,,,,
17,45,3,556,1,,,,,
18,19,3,301,0,,,,,
20,6,3,181,0,,,,,
7,44,9,538,1,,,,,
4,30,8,376,0,,,,,
6,11,6,182,0,,,,,
15,49,10,635,1,,,,,
20,34,4,468,1,,,,,
19,29,10,455,1,,,,,
8,46,2,514,1,,,,,
19,28,7,424,0,,,,,
4,42,6,482,1,,,,,
19,21,5,340,0,,,,,
15,33,4,433,0,,,,,
5,14,1,172,0,,,,,
12,9,1,157,0,,,,,
3,39,8,461,1,,,,,
15,16,2,249,0,,,,,
9,38,8,481,1,,,,,
20,9,5,225,0,,,,,
15,15,2,239,0,,,,,
15,46,10,605,1,,,,,
2,8,9,153,0,,,,,
16,22,1,307,0,,,,,
10,27,10,390,0,,,,,
10,24,6,332,0,,,,,
5,44,3,486,1,,,,,
13,26,2,339,0,,,,,
13,22,8,341,0,,,,,
2,21,6,262,0,,,,,
19,24,5,370,0,,,,,
4,48,7,549,1,,,,,
16,42,8,556,1,,,,,
13,16,9,288,0,,,,,
12,37,1,437,0,,,,,
12,49,6,592,1,,,,,
9,22,8,321,0,,,,,
5,29,5,350,0,,,,,
14,9,1,167,0,,,,,
17,12,3,226,0,,,,,
5,19,6,257,0,,,,,
3,40,2,429,0,,,,,
19,16,5,290,0,,,,,
18,17,6,302,0,,,,,
18,37,9,523,1,,,,,
3,35,6,407,0,,,,,
6,45,3,501,1,,,,,
17,45,4,563,1,,,,,
7,27,4,333,0,,,,,
20,19,1,297,0,,,,,
19,45,7,594,1,,,,,
10,7,7,169,0,,,,,
7,7,2,119,0,,,,,
11,32,8,431,0,,,,,
0,18,8,236,0,,,,,
2,46,8,526,1,,,,,
1,16,5,200,0,,,,,
13,13,9,258,0,,,,,
6,24,7,319,0,,,,,
9,48,10,595,1,,,,,
13,7,5,170,0,,,,,
13,23,9,358,0,,,,,
5,7,1,102,0,,,,,
5,20,9,288,0,,,,,
3,44,2,469,1,,,,,
1,41,2,429,0,,,,,
3,36,8,431,0,,,,,
13,16,8,281,0,,,,,
7,10,8,191,0,,,,,
1,29,4,323,0,,,,,
20,42,1,527,1,,,,,
17,33,8,471,1,,,,,
19,41,2,519,1,,,,,
12,37,6,472,1,,,,,
18,14,7,279,0,,,,,
14,43,1,507,1,,,,,
6,10,8,186,0,,,,,
14,27,3,361,0,,,,,
14,45,2,534,1,,,,,
16,42,4,528,1,,,,,
8,49,5,565,1,,,,,
20,13,10,300,0,,,,,
3,34,8,411,0,,,,,
15,44,5,550,1,,,,,
5,48,8,561,1,,,,,
19,34,5,470,1,,,,,
12,22,6,322,0,,,,,
8,10,6,182,0,,,,,
17,41,10,565,1,,,,,
8,36,6,442,0,,,,,
5,22,8,301,0,,,,,
2,13,7,189,0,,,,,
17,44,4,553,1,,,,,
3,14,6,197,0,,,,,
9,23,8,331,0,,,,,
18,14,7,279,0,,,,,
15,37,5,480,1,,,,,
0,32,6,362,0,,,,,
13,5,7,164,0,,,,,
10,43,1,487,1,,,,,
17,47,4,583,1,,,,,
1,17,3,196,0,,,,,
5,17,3,216,0,,,,,
17,10,1,192,0,,,,,
4,48,1,507,1,,,,,
8,29,2,344,0,,,,,
5,30,2,339,0,,,,,
11,46,1,522,1,,,,,
14,34,3,431,0,,,,,
19,25,5,380,0,,,,,
15,46,9,598,1,,,,,
11,18,5,270,0,,,,,
6,20,3,251,0,,,,,
11,37,9,488,1,,,,,
19,19,10,355,0,,,,,
11,25,9,368,0,,,,,
3,40,10,485,1,,,,,
17,43,1,522,1,,,,,
2,38,7,439,0,,,,,
2,33,2,354,0,,,,,
5,37,5,430,0,,,,,
16,34,10,490,1,,,,,
9,5,1,102,0,,,,,
8,34,1,387,0,,,,,
20,17,3,291,0,,,,,
2,29,4,328,0,,,,,
14,49,10,630,1,,,,,
14,39,10,530,1,,,,,
0,31,8,366,0,,,,,
3,21,4,253,0,,,,,
0,25,7,299,0,,,,,
13,43,1,502,1,,,,,
0,44,5,475,1,,,,,
13,25,5,350,0,,,,,
20,7,10,240,0,,,,,
18,7,3,181,0,,,,,
12,7,10,200,0,,,,,
15,18,9,318,0,,,,,
6,29,5,355,0,,,,,
15,48,1,562,1,,,,,
4,10,10,190,0,,,,,
2,18,10,260,0,,,,,
18,24,7,379,0,,,,,
3,45,4,493,1,,,,,
8,22,4,288,0,,,,,
18,15,4,268,0,,,,,
19,10,6,237,0,,,,,
20,37,7,519,1,,,,,
5,21,10,305,0,,,,,
6,11,6,182,0,,,,,
18,7,4,188,0,,,,,
20,23,3,351,0,,,,,
14,32,3,411,0,,,,,
17,7,6,197,0,,,,,
